"Sl
No",Project Identification Code,Name of Dam,Year of comple- tion,River,Nearest city,Type,Height above lowest foundation,Length of dam,Volume content of dam,Gross Storage capacity,"Reservoir
Area",Effective Storage capacity,Pur- pose,Designed Spillway capacity
31,JH05MH0031,MASARIA,1983,Masaria,Gumla,TE,21.54,807.93,,3552,740,3158,I,136
32,JH05MH0032,PANDARWA,1983,Pandarwa,Garhwa,TE,21.8,193.6,,3814.1,1070,3530.2,I,163.09
33,JH05MH0033,CHINDA,1984,Chinda,Simdega,TE/PG,17.62,121.34,,10176,2120,8544,I,782
34,JH05MH0034,BUTAN-DUBA,1985,Butan-duba,Daltonganj,TE,22.56,365.85,,3480,630,3248.7,I,163
35,JH05MH0035,CHIRKA,1985,Chirka,Garhwa,TE,22.13,1046.34,,6171.6,1190,5680.3,I,270.75
36,JH05MH0036,DANRO,1985,Danro,Gharhwa,TE,22.38,1372,,17218.8,3360,14811.8,I,16100
37,JH05MH0037,JAIPUR,1985,Jaipur Nala,Gumla,TE,22.56,914.63,,1813,280,1558,I,152
38,JH05LH0038,LORGORA,1985,Lorgora,Chaibasa,TE,14.63,1055,,3200,,230000,I,120
39,JH05MH0039,MALAY,1985,Malay,Daltonganj,TE,28.8,1684.15,,N.A,3460,,I,490
40,JH05MH0040,PARAS,1985,Paras,Ranchi,TE,24.39,792.68,,18510,3760,16920,I,383
41,JH05MH0041,MURAHIR,1987,Battajora Nala,Ghatshila,TE,25.3,597.5,444.46,99900,1242.2,8890,I,350.3
42,JH05MH0042,PALNA,1987,Ranka jhuria,Jamshedpur,TE,28.66,381.1,825,12420,1559,11350,I,354
43,JH05HH0043,LATRATU,1988,North Karo,Lohardagga,TE,41.49,1219.5,,46890,3410,41460,I,980
44,JH05LH0044,NANDINI,1988,Nandini,Lohardagga,ER,13.11,1859.75,,193000,5580,16930,I,589
45,JH05MH0045,TAPKARA,1988,Tapkara,Gumla,TE,24.23,350.61,,,1430,,I,377
46,JH05MH0046,TORLOW,1990,Torlow,Chaibasa,TE,22.25,2460,,23880,2024.3,15320,I,670
47,JH05MH0047,ANRAJ,N.A.,Anraj,Garhwa,TE,27.74,731.71,,30426.1,3440,26908.3,I,490
48,JH05LH0048,BABHANI KHAND,NA,Babhani Khand,Garhwa,TE,13.1,823.17,,2314.3,,2156.4,I,113.38
49,JH05MH0049,SUDHARI NALA,NA,Sudhari nala,Chatra,TE,16.46,396.34,,1380,,1110,I,94
50,JH05HH0050,AMANAT,U/C,Amanat,Daltonganj,TE,41,869,,10190,2100,81450,I,6881
51,JH05HH0051,AURANGA,U/C,Auranga,Manika,TE,54.86,597.56,,552000,4536,460000,I,8495
52,JH05MH0052,BASUKI,U/C,Basuki,Ranchi,TE,20.42,2410.85,,,,37000,I,31
53,JH05MH0053,BHAIRWA,U/C,Bhairwa,Gola (H.Bag),TE,29.57,2469.5,1350,27000,4900,21000,I,1176
54,JH05MH0054,BURHI,U/C,Pathri,Madhupur,TE,29.23,5760,,,,174460,I,2645
55,JH05HH0055,CHANDIL,U/C,Subarnarekha,Jamshedpur,TE,56.8,720.1,1866,1500000,174090,1148000,"I,H,C,S",24700
56,JH05MH0056,DHANSINGTOLI,U/C,Khakra Jore,Ranchi,TE,25.6,1006,,12000,40,,I,14
57,JH05HH0057,ICHA AT KUJU,U/C,kharkai,Chaibasa,TE/PG,38.5,6600,34600,1043000,119120,839000,I,23741
58,JH05HH0058,JHARJHARA,U/C,Brahamni,Chakardharpur,TE,30.5,667,,22470,2373,1980,I,506
59,JH05HH0059,KANHAR,U/C,kanhar,Garhwa,TE,42.98,,,574000,,522000,I,
60,JH05HH0060,KANS,U/C,Kans,Ranchi,TE,62.14,1798.78,,26000,10,21000,I,608.82
