Sr. No,State,Chloride Breached
1,Andhra Pradesh,"E-Godavari, Prakasam , Nellore, Guntur, Mahbubnagar, Nalgonda, Kadappa, Krishna, Khammam, Kurnool, Medak , Warangal, Srikakulam "
2,Delhi,"North West, West, South West"
3,Gujarat,"Ahmadabad, Amreli, Anand, Bharuch, Bhavnagar, Banaskantha, Dohad, Porbandar, Jamnagar, Junagadh, Kachchh, Mehsana, Patan, Panchmahals, Rajkot, Sabarkantha, Surendranagar, Surat, Vadodara,"
4,Haryana,"Bhiwani, Gurgaon,Jhajjar,Mahendragarh, Rohtak, Sirsa , Sonipat"
5,Karnataka,"Bagalkot, Belgaum, Bellary, Dharwar, Gadag, Gulbarga, Raichur"
6,Madhya Pradesh,"Bhind , Ujjain "
7,Maharashtra,"Ahmadnagar , Chandrapur, Jalna, Nagpur , Satara"
8,Orissa,Jagatsinghpur
9,Punjab,Firozepur 
10,Rajasthan,"Barmer, Bharatpur, Bikaner, Bundi , Churu, Chittaurgarh, Dausa, Ganganagar, Hanumangarh, Jaipur, Jaisalmer, Jalor, Jhunjhununn, Jodhpur, Karauli, Nagaur, Pali, Sirohi, Sawaimadhopur, Nagaur, Sikar, Tonk, Udaipur"
11,Tamil Nadu,"Chennai,Cuddalore, Coibatore , Karur, Pudukkottai, Thoothukkudi, Ramanathapuram, Namakkal, Shivaganga, Salem, Thirunamalai, Tirunelveli, Tiruvarur ,Thanjavur , Vellore, Virudhanagar,"
12,Uttar Pradesh,"Aligarh , Agra , Hathras , Mathura"
13,West Bengal,"Haora, N-24 Pargana , S-24 Parganas "
