S. No.,State,Parts of districts having EC > 3000 µS/cm.
1,Andhra Pradesh,"Anantapur, Chittoor ,Kurnool, Kadapa(Cuddapah), Nellore, Prakasam, Guntur, Mahbubnagar, Nalgonda, Krishna, Khammam, Warangal, Medak, East Godavari, Srikakulam, Visakhapatnam"
2,Delhi,"North West, West, South West"
3,Gujarat,"Ahmadabad, Amreli, Anand, Bharuch, Bhavnagar, Banaskantha, Dohad,Porbandar, Jamnagar, Junagadh, Kachchh, Kheda, Mehsana, Navsari, Patan, Panchmahals, Rajkot, Sabarkantha, Surendranagar, Surat, Vadodara"
4,Haryana,"Bhiwani, Faridabad , Fatehabad, Gurgaon, Hissar, Jhajjar, Kaithal, Mahendragarh, Panipat, Rewari, Rohtak, Sirsa, Sonepat, Yamunanagar "
5,Himachal Pradesh,Mandi 
6,Karnataka,"Bijapur,Bagalkot, Belgaun, Bellary, Chitradurga, Chikmagalur, Davangiri, Dharwar,Gadag, Gulburga, Hassan , Haveri, Mandya , Raichur, Udupi"
7,Kerala,Palakkad 
8,Maharashtra,"Ahmadnagar,Aurangabad ,Akola, Amravati, Beed , Buldana, Chandrapur, Dhule , Jalna,Jalgaon,Nagpur ,Nasik, Parbhani, Raigarh , Satara, Solapur , Wardha"
9,Madhya Pradesh,"Bhind, Indore, Jhabua , Sheopur , Ujjain"
10,Orissa,Jagatsinghpur 
11,Punjab,"Bhathinda,Firozepur, Faridkot, Gurudaspur , Mansa, Muktsar, Patiala ,Sangrur"
12,Rajasthan,"Ajmer, Alwar, Barmer, Bharatpur, Bhilwara, Bundi, Bikaner, Churu, Chittaurgarh, Dhaulpur, Dausa, Ganganagar, Hanumangarh, Jaipur, Jaisalmer, Jalor, Jhunjhununn, Jodhpur,Karoli, Nagaur, Neemuch, Pali, RajaSamand, Sirohi, Sikar, Sawai Madhopur, Tonk, Udaipur"
13,Tamil Nadu,"Coimbatore, Chennai, Cuddalore, Dindigul,Dharmapuri, Erode, Pudukkottai, Ramanathapuram, Salem, Karur, Namakkal, Perambalur, Thiruvannamalai, Tiruchirapalli, Thanjavur, Thoothukkudi, Tirunelveli, Theni ,Vellore, Villupuram, Virudhanagar"
14,Uttar Pradesh,"Agra, Allahabad , Aligarh, Hamirpur , Hathras, Jyotibaphulenagar , Mathura"
15,West Bengal,"Bankura ,Haora, Medinipur,N-24 Pargana, S- 24 Parganas"
